instruction,input,output
What is Mahayograj Guggul and how can it be used to help with joint disorders like arthritis,"Mahayograj Guggul is an ancient ayurvedic medicine, prescribed for various joint disorders like arthritis, gout, and rheumatism. The present research was envisaged to develop a simple, sensitive, and comprehensive analytical method for standardization of Mahayograj Guggul. The analysis was conducted for gallic acid, protocatechuic acid, vanillic acid, cinnamic acid, piperine, guggulsterone-E, and guggulsterone-Z by high-performance thin-layer chromatography, and additionally ferulic acid, ellagic acid, and picroside I by ultra high-performance liquid chromatography. These developed methods were validated as per international guidelines, and were found linear r2 0.99, sensitive, precise relative standard deviation 5, and accurate with recovery values 85-105. The limit of detection and quantification were in the range of 0.11-23.6 and 0.33-71.51 gg. Gas chromatography tandem mass spectrometry was used to develop Mahayograj Guggul fingerprinting profile and to identify mid-polar or nonpolar compounds. Proximate analysis was used to ascertain the functional groups present in Mahayograj Guggul. Ultra high-performance liquid chromatography and gas chromatography tandem mass spectrometry were further employed to authenticate quality reproducibility in the active ingredients of Mahayograj Guggul in six commercial batches. Taken together, these analytical methods provide a scientific basis and reference for quality control evaluation of Mahayograj Guggul and similar traditional broad-spectrum formulations.","According to Standardization and validation of phytometabolites by UHPLC and high-performance thin layer chromatography for rapid quality assessment of ancient ayurvedic medicine, Mahayograj Guggul, Mahayograj Guggul is an ancient Ayurvedic remedy used for a variety of joint disorders such as arthritis, gout, and rheumatism. The active ingredients include gallic acid, protocatechuic acid, vanillic acid, cinnamic acid, piperine, guggulsterone-E, guggulsterone-Z, ferulic acid, ellagic acid, and picroside I. To ensure quality and effectiveness, Mahayograj Guggul should be standardized"
Can ginger be used to improve heart health and digestion,"The rhizome of the Zingiber officinale Roscoe, a biennial herb growing in South Asia, is commonly known as ginger. Ginger is used in clinical disorders, such as constipation, dyspepsia, diarrhoea, nausea and vomiting and its use is also recommended by the traditional medicine for cardiopathy, high blood pressure, palpitations and as a vasodilator to improve the circulation. The decoction of ginger rhizome is widely used in Ayurvedic medicine. In this papery by high-performance liquid chromatography, we have seen that its main phytomarkers were 6-gingerol, 8-gingerol and 6-shogaol and we report the effects of the decoction of ginger rhizome on cardiovascular parameters and on vascular and intestinal smooth muscle. In our experimental models, the decoction of ginger shows weak negative inotropic and chronotropic intrinsic activities but a significant intrinsic activity on smooth muscle with a potency on ileum is greater than on aorta EC50 0.66 mgmL versus EC50 1.45 mgmL.","According to Ayurvedic preparation of Zingiber officinale Roscoe effects on cardiac and on smooth muscle parameters, the decoction of ginger rhizome from the Zingiber officinale Roscoe herb is widely used in Ayurvedic medicine. It is commonly used in cases of constipation, dyspepsia, diarrhoea, nausea, vomiting, cardiopathy, high blood pressure, palpitations, and as a vasodilator to improve circulation. The decoction of ginger shows weak negative inotropic and chronotropic intrinsic activities but a significant intrinsic activity on smooth muscle. It has a greater potency on the ileum than on the aorta with EC50 values of 0.66 mgmL and"
Can Ayurvedic practices help in removing toxins from the body,"Environmental toxicity from xenobiotic compounds is a major health concern today. This paper presents a hypothetical model for the removal of toxins from the physiology employing procedures of Maharishi Ayurveda, a comprehensive system of natural medicine, which is undergoing renewal. This model combines the use of principles similar to those which are found in lipid extraction, dialysis and bulk flow. A means of testing the hypothesis is also presented.","According to A model for extraction of both lipid and water soluble toxins using a procedure from Maharishi Ayurveda, the hypothetical model for removing toxins from the body involves principles similar to lipid extraction, dialysis, and bulk flow. It is based on the procedures of Maharishi Ayurveda, a comprehensive system of natural medicine. The paper also provides a means of testing this hypothesis."
What are some Ayurvedic remedies for managing high blood pressure or insomnia,"Ayurveda is the ancient before 2500 b.c. Indian system of health care and longevity. It involves a holistic view of man, his health, and illness. Ayurvedic treatment of a disease consists of salubrious use of drugs, diets, and certain practices. Medicinal preparations are invariably complex mixtures, based mostly on plant products. Around 1,250 plants are currently used in various Ayurvedic preparations. Many Indian medicinal plants have come under scientific scrutiny since the middle of the nineteenth century, although in a sporadic fashion. The first significant contribution from Ayurvedic materia medica came with the isolation of the hypertensive alkaloid from the sarpagandha plant Rouwolfia serpentina, valued in Ayurveda for the treatment of hypertension, insomnia, and insanity. This was the first important ancient-modern concordance in Ayurvedic plants. With the gradual coming of age of chemistry and biology, disciplines central to the study of biologic activities of natural products, many Ayurvedic plants have been reinvestigated. Our work on Commiphora wightti gum-resin, valued in Ayurveda for correcting lipid disorders, has been described in some detail based on these investigations, a modern antihyperlipoproteinemic drug is on the market in India and some other countries. There has also been concordance for a few other Ayurvedic crude drugs such as Asparagus racemosus, Cedrus deodara, and Psoralea corylifolia.","According to Ancient-modern concordance in Ayurvedic plants some examples, Ayurvedic treatment involves the use of drugs, diets, and practices, with medicinal preparations often being complex mixtures based mostly on plant products. Approximately 1,250 plants are used in various Ayurvedic preparations. The paper mentions several plants that have been scientifically investigated for their medicinal properties. The sarpagandha plant Rouwolfia serpentina is valued in Ayurveda for the treatment of hypertension, insomnia, and insanity. Commiphora wightti gum-resin is valued for correcting lipid disorders, and based on research, a modern antihyperlipoproteinemic drug is now available in India and some other"
Is processed aconite safe to use in Ayurvedic treatments,"Crude aconite is an extremely lethal substance. However, the science of Ayurveda looks upon aconite as a therapeutic entity. Crude aconite is always processed i.e. it undergoes samskaras before being utilised in the Ayurvedic formulations. This study was undertaken in mice, to ascertain whether processed aconite is less toxic as compared to the crude or unprocessed one. It was seen that crude aconite was significantly toxic to mice 100 mortality at a dose of 2.6 mgmouse whereas the fully processed aconite was absolutely non-toxic no mortality at a dose even 8 times as high as that of crude aconite. Further, all the steps in the processing were essential for complete detoxification.","According to Can we dispense with Ayurvedic samskaras, crude aconite is extremely lethal, but when processed through Ayurvedic samskaras, it becomes a non-toxic therapeutic entity. This process involves several steps that are essential for complete detoxification. The study found that processed aconite was not toxic to mice, even at a dose eight times higher than that of crude aconite, which caused significant toxicity and 100 mortality."
How can Ayurveda help manage free radicals in the body,"This is a comprehensive review of menace of free radicals and its concept and management in Ayurveda. This article highlights the various exogenous and endogenous factors responsible for the production of free radicals with special reference to the formation of unriped and purified metabolites ama during the metabolic activities at different levels of digestion. The purpose of this paper is to review the management of free radicals which can be designed with reference to diet and digestion biorhythms, behaviour, emotions and sense. Ayurvedic concept of free radicals scavenger, revitalisation, role of clarified butter and pollution control thereby maintaining the optimal health status by involving minimum of sophisticated technology thus guiding the individual to lead a harmonious life in unison with nature.","According to The menace of free radicals its concept and management in Ayurveda, the Ayurvedic management of free radicals involves a holistic approach that considers diet and digestion biorhythms, behaviour, emotions, and sense. The paper highlights the role of clarified butter and pollution control in maintaining optimal health. It also mentions the Ayurvedic concept of free radicals scavenger and revitalisation. The goal is to guide individuals to lead a harmonious life in unison with nature, using minimal sophisticated technology."
What are some common experiences of individuals who use Ayurveda in combination with other treatments,"BACKGROUND Ayurveda has its historical roots in India, but has also been internationalised, partly via migration and partly through an increased interest in alternative medicine in the West, where studies point toward increased use. However, there is to date scarce knowledge about the use and experiences of ayurveda in Sweden. METHODS We have conducted a case study of a center for ayurvedic healthcare in Sweden. We have collected information on client background data from the centers documentation, and compiled data from all clients who visited the centre for ayurvedic consultation during spring 2014. In total, 55 individuals were included in the study, and 18 of them were chosen for individual semi-structured interviews, to gain a deeper understanding of their motives for seeking, and experiences of ayurvedic health care. The material was analysed and compiled through a mix of qualitative and quantitative methods. RESULTS Among the 55 clients, 91 were female the mean age was 47 years, and 64 gave a specific illness as a reason for seeking ayurveda. The most common illnesses were respiratory, musculoskeletal, circulatory, tumor, and cutaneous illnesses. The qualitative results showed that ayurveda was being used in combination with other methods, including various diets, other alternative medicine methods and conventional medicine. Some participants recounted having sought ayurveda as a complement to conventional medicine, or in cases when conventional medicine had been experienced as insufficient in terms of diagnosis or treatment. However, some participants experienced it as difficult to follow the ayurvedic life-style advice in the midst of their everyday life. Many participants reported positive experiences of pulse diagnostics, which was the main diagnostic method used in ayurvedic consultation. Some reported concrete, physical improvement of their symptoms. CONCLUSIONS This study points towards important aspects of participant experience of ayurveda, that may be subject to further research. The positive effects experienced by some clients should be studied more systematically in order to discern whether they are specific or non-specific. In addition, interesting knowledge may be gained through further study of the reported positive experiences of pulse diagnosis.","According to The use of ayurvedic medicine in the context of health promotion--a mixed methods case study of an ayurvedic centre in Sweden, Ayurvedic medicine is commonly used in combination with other methods such as various diets, other alternative medicine methods, and conventional medicine. It is often sought as a complement to conventional medicine, or in cases where conventional medicine has been experienced as insufficient in terms of diagnosis or treatment. The main diagnostic method used in Ayurvedic consultation is pulse diagnosis, which many participants reported positive experiences with. Some participants also reported physical improvement of their symptoms after Ayurvedic treatment. However, some found it challenging to follow the Ayurvedic lifestyle advice in their everyday life. The most common illnesses for which Ayurved"
Is it safe to consume Ayurvedic medicines considering they might contain natural radionuclides,"Purpose Ayurveda is one of the oldest systems of medicines in the world being practiced widely in the Indian subcontinent for more than 3000 years, and still remains as one of the important traditional health care systems. The Ayurvedic drugs are derived primarily from various parts of the plants, like root, leaf, flower, fruit or plant as a whole. Plants uptake minerals and other nutrients from the soil through their root system. Along with other minerals radionuclides present in the growing media also reach to the plant parts following the same pathway. Realizing the probable health hazards via the intake of Ayurvedic drugs, it is important to assess the concentration of natural radionuclides in commonly used medicinal plants.Materials and methods NaITl scintillator-based gamma-ray spectrometry has been used to determine the activity concentrations of primordial radionuclides 226Ra, 232Th and 40K in the most commonly used medicinal plant parts as ingredients of Ayurvedic medicines in India.Results and discussion The average specific activity Bqkg-1 of 226Ra, 232Th and 40K was found to be 43 18, 36 15Formula see text and 230 46, respectively. The estimated annual committed effective doses due to the intake of common Ayurvedic medicines at prescribed dosage was found to be 39 16 Sv y-1,Formula see text which is quite low as compared with the radiation dose limit of 1 mSvy-1 from all natural sources, reported by the International Commission on Radiological Protection ICRP-60.Conclusions It is found categorically that intake of Ayurvedic medicines at normal dosage poses no radiological hazard to the individual. Present results are significant in the wake of myths that many hazardous materials including radioisotopes are present at higher levels. Obtained results also serve as a reference information for the distribution of radionuclides in medicinal plant species.","According to Radionuclide concentrations in medicinal florae and committed effective dose through Ayurvedic medicines, the intake of Ayurvedic medicines, which are primarily derived from various parts of plants, at normal dosage poses no radiological hazard to the individual. The average specific activity of primordial radionuclides 226Ra, 232Th, and 40K in commonly used medicinal plant parts is quite low, and the estimated annual committed effective doses due to the intake of common Ayurvedic medicines at prescribed dosage was found to be significantly lower than the radiation dose limit from all natural sources reported by the International Commission on Radiological Protection. This dispels the myth that Ayurvedic medicines contain hazardous materials, including radioisotopes"
Are there any potential side effects of using traditional Indian medical treatments for neck and back pain,"INTRODUCTION Low back and neck pain are common musculoskeletal disorders with multiple treatment options. Indias traditional medical systems, known as Ayush Ayurveda, Yoga and Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy offer range of interventions and are widely used. In view of limited documentation of adverse events following Ayush interventions for lumbar and cervical spondylosis, we synthesized evidence and estimated proportion of studies reporting adverse events. METHODS We systematically searched all published documents from biomedical and multidisciplinary abstract and citation databases and Ayush-specific repositories from their inception to April 2021. We selected studies as per inclusion criteria and extracted information, adhering to PRISMA guidelines. We systematically reviewed the qualitative evidence form the selected studies. RESULTS Majority 94 of the selected 113 studies were interventional studies and included 77 68.1 journal articles and 35 31 academic dissertations. Among the Ayush systems, considerable proportion was from Ayurveda 32.7, followed by Siddha 24.8, Yoga 22.1, Unani 15.9 and Homoeopathy 4.4. Almost three-fourths of the studies were on lumbar spondylosis 65 n 74, followed by cervical spondylosis 31 n 35, and the remaining four included both. Thirteen percent of the 113 studies described adverse events Yoga 9.7 Unani 1.8 and Homoeopathy 1.8. More adverse events were reported among the studies on lumbar 9.7 than cervical spondylosis 2.7. The nature of interventions were non-pharmacological 10.6 n 12, pharmacological n 2 1.8 or combined n 1 0.9. CONCLUSIONS Only one in eight studies reported any adverse event following Ayush interventions for cervical and lumbar spondylosis. There could be certain degree of underreporting of adverse events and requires further exploration. PROSPERO Registration ID CRD42020167433.","According to Adverse events in Indias Ayush interventions for cervical and lumbar spondylosis a systematic review, among the Ayush systems Ayurveda, Yoga and Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy, a significant proportion of studies were from Ayurveda 32.7, followed by Siddha 24.8, Yoga 22.1, Unani 15.9 and Homoeopathy 4.4 for the treatment of lumbar and cervical spondylosis. The nature of these interventions were non-pharmacological, pharmacological or combined. However, it was found that only one in eight studies reported any adverse"
What are some traditional herbal remedies used in far-west Nepal for common illnesses,"BACKGROUND Plant species have long been used as principal ingredients of traditional medicine in far-west Nepal. The medicinal plants with ethnomedicinal values are currently being screened for their therapeutic potential but their data and information are inadequately compared and analyzed with the Ayurveda and the phytochemical findings. METHODS The present study evaluated ethnomedicinal plants and their uses following literature review, comparison, field observations, and analysis. Comparison was made against earlier standard literature of medicinal plants and ethnomedicine of the same area, the common uses of the Ayurveda and the latest common phytochemical findings. The field study for primary data collection was carried out from 2006-2008. RESULTS The herbal medicine in far-west Nepal is the basis of treatment of most illness through traditional knowledge. The medicine is made available via ancient, natural health care practices such as tribal lore, home herbal remedy, and the Baidhya, Ayurveda and Amchi systems. The traditional herbal medicine has not only survived but also thrived in the trans-cultural environment with its intermixture of ethnic traditions and beliefs. The present assessment showed that traditional herbal medicine has flourished in rural areas where modern medicine is parsimoniously accessed because of the high cost and long travel time to health center. Of the 48 Nepalese medicinal plants assessed in the present communication, about half of the species showed affinity with the common uses of the Ayurveda, earlier studies and the latest phytochemical findings. The folk uses of Acacia catechu for cold and cough, Aconitum spicatum as an analgesic, Aesculus indica for joint pain, Andrographis paniculata for fever, Anisomeles indica for urinary affections, Azadirachta indica for fever, Euphorbia hirta for asthma, Taxus wallichiana for tumor control, and Tinospora sinensis for diabetes are consistent with the latest pharmacological findings, common Ayurvedic and earlier uses. CONCLUSIONS Although traditional herbal medicine is only a primary means of health care in far-west Nepal, the medicine has been pursued indigenously with complementing pharmacology and the Ayurveda. Therefore, further pharmacological evaluation of traditional herbal medicine deserves more attention.","According to Traditional herbal medicine in far-west Nepal a pharmacological appraisal, traditional herbal medicine is a primary means of healthcare in far-west Nepal. The study found that of the 48 Nepalese medicinal plants assessed, about half of them showed affinity with the common uses of Ayurveda and the latest phytochemical findings. The traditional uses of Acacia catechu for cold and cough, Aconitum spicatum as an analgesic, Aesculus indica for joint pain, Andrographis paniculata for fever, Anisomeles indica for urinary affections, Azadirachta indica for fever, Euphorbia hirta for asthma, Taxus wallichiana for tumor control, and T"
How has the history of Ayurveda influenced its current practices and treatments,"Ayurveda traces its origins to contributions of mythological and real physicians that lived millennia earlier. In many respects, Western medicine also had similar origins and beliefs, however, the introduction of anatomical dissection and progressive application of scientific evidence based practices have resulted in divergent paths taken by these systems. We examined the lives, careers, and contributions made by nine ancient Indian physicians. Ancient texts, translations of these texts, books, and biographical works were consulted to obtain relevant information, both for Indian traditional medicine as well as for Western medicine. Ayurveda has retained principles enunciated by these physicians, with minor conceptual advances over the centuries. Western medicine separated from ancient Indian medicine several hundred years ago, and remains the foundation of modern medicine. Modern medicine is evidence based, and randomized clinical trials RCTs are the gold standard by which efficacy of treatment is evaluated. Ayurvedic medicine has not undergone such critical evaluation to any large extent. The few RCTs that have evaluated alternative medical treatment recently have shown that such therapy is no better than placebo however, placebo treatment is 30 effective. We suggest that foreign domination, initially by Mughals, and later by the British, may have contributed, in part, to this inertia and protracted status quo.","According to research, The paper Contributions of ancient Indian physicians--implications for modern times does not provide specific Ayurvedic remedies. However, it does state that Ayurvedic medicine has retained principles enunciated by ancient Indian physicians with minor conceptual advances over centuries. It also mentions the need for more randomized clinical trials to critically evaluate Ayurvedic treatments."
What are some of the rare books in Urdu literature from the 19th and early 20th century,"Urdu is a distinct literary language began to develop in India during Mughal empire. Lots of people read, write and speak, this language in Indian subcontinent. This brief article will shed light on the seven rare books in Urdu compiled and published in the period from 19th century to the first half of the current century. Some books may not have high value but the struggle of the scholars, is appreciable.","According to research, The abstract does not provide specific information on any Ayurvedic remedy."
What does Ayurveda suggest for managing symptoms of depression,"This write up on some aspects of Indian history of depression touches briefly on references to some aspects of depression in Ayurveda, in philosophical texts and in the epics Ramayana and Mahabharata.","According to research, The abstract does not provide specific information on any Ayurvedic remedies for depression."
What sort of medical information can be found in the Agnipurana,"Agnipurana is one amongst the 18 Purana of the Hindu literature. Its title is so because it was narrated by Agni to Vaistha. It consists of 16000 stanzas distributed in 383 chapters. It has not only the compilation of special topics from different Ayurvedic texts but also carries information regarding some missing links, serets and some issues which are not disussed in Ayurveda. There is deference of opinion regarding the date of this Purana. Medical information given in Agnipurana was taken from Suruta Samhita, Astanga Sangraha, Vrnda Madhava and Cakradatta etc. At some places slokas were reproduced and at some places zist has been taken. Basic principles, anatomy, physiology, medicine etc. medical information is available in Agnipurana which is being presented in this article.","According to Medical information in Agnipurana, the Agnipurana, a Hindu text, provides a compilation of special topics from various Ayurvedic texts. It includes basic principles, anatomy, physiology, and medicine related to Ayurvedic practices. The medical information in this text was derived from other Ayurvedic references such as Suruta Samhita, Astanga Sangraha, Vrnda Madhava, and Cakradatta. The Agnipurana also discusses some topics not commonly addressed in other Ayurvedic texts."
What are some Ayurvedic treatments for anaemia,"According to Ayurveda the word Pandu denotes pale or yellowish white colour. Panduroga anaemia is a disease in which man becomes pallor due to deficiency of Rakta dhatu blood in the body. Rakta dhatu is mentioned among the Saptadhatus of the body. Historical importance of Panduroga and the comparative study regarding its Nidana-Samprapti, Lakshanas, Upadravas and Chikitsa etc. as found in Athavaveda, Mahabharata, Charaka Samhita, Sushruta Samhita, Chakradatta and Basava Rajeeyam etc. are being presented in this paper.","According to research, The abstract does not provide specific information on Ayurvedic remedies for Panduroga anaemia."
What are some historical beliefs about the health benefits of semen conservation,"The ancient doctrine of semen conservation has a long philosophical history in Europe and Asia. In Sanskrit, semen is equated with sukra, the life force. As early as 600 B.C., the Caraka Samhita taught the importance of sukra, and gave prescriptions to augment it. In the 18th century, semen conservation theory reentered Western medicine through Tissots Treatise on the Diseases Produced by Onanism. It became the basis of the degeneracy theory of all disease, and of the masturbation hysteria of the 19th and 20th centuries.","According to Semen-conservation doctrine from ancient Ayurvedic to modern sexological theory, the ancient Ayurvedic text, the Caraka Samhita, emphasized the importance of sukra or semen, which is equated with the life force, and provided prescriptions to enhance it. However, the specific Ayurvedic remedies for this purpose are not detailed in the abstract."
Can Ayurveda and Yoga help me lose weight naturally,"OBJECTIVES To determine the feasibility and acceptability of an AyurvedaYoga intervention for weight loss, using dual-diagnosis inclusion criteria, dual-paradigm outcomes, and a semistandardized protocol with tailoring according to the Ayurvedic constitutionimbalance profile of each participant. DESIGN Seventeen participants enrolled in a weekly intervention for 3 months. Outcome measurements were performed at baseline, postintervention, and 3 and 6 months follow-up. SETTING The intervention was conducted through the University of Arizona, Department of Family and Community Medicine from April through December 2012. SUBJECTS Participants included 2 men and 15 women recruited from the community of Tucson, AZ using flyers and hospital message boards. Seventeen enrolled and 12 participants provided complete follow-up data. INTERVENTION Participants met with an Ayurvedic practitioner twice monthly six times and followed semistandardized dietary guidelines with individual tailoring to address relevant psychophysiological imbalances obstructing weight loss and a standardized protocol of therapeutic yoga classes three times weekly with recommended home practice of two to four additional sessions. OUTCOME MEASURES Primary outcome was weight loss. Other biomedical outcomes included body mass index, body fat percentage, waist and hip circumference, waist to hip ratio, and blood pressure. Unique instruments were designed to collect data on outcomes associated with the Ayurvedic medical paradigm, including dietary changes by food qualities, moodaffect, relationships, and changes in Ayurvedic imbalance profiles. RESULTS Participants lost an average of 3.5 kg during the 3-month intervention. Weight loss at 3 and 6 months postintervention increased to an average of 5.6 kg and 5.9 kg, respectively. Participants who lost 3 of their body weight during the 12 week intervention, lost on average an additional 3 during the follow-up period. Psychosocial outcomes also improved. No additional services were provided to participants during the follow-up period. CONCLUSIONS A whole-systems Ayurvedic medicine and Yoga therapy approach provides a feasible promising noninvasive low-cost alternative to traditional weight loss interventions with potential added benefits associated with sustainable holistic lifestyle modification and positive psychosocial changes.","According to Outcomes from a Whole-Systems Ayurvedic Medicine and Yoga Therapy Treatment for Obesity Pilot Study, an Ayurvedic medicine and yoga therapy approach was used as a treatment for obesity. This involved participants meeting with an Ayurvedic practitioner twice monthly and following semistandardized dietary guidelines tailored to address relevant psychophysiological imbalances obstructing weight loss. Additionally, a standardized protocol of therapeutic yoga classes was implemented three times weekly with recommended at-home practice of two to four additional sessions. The results showed participants lost an average of 3.5 kg during the 3-month intervention, and weight loss increased to an average of 5.6 kg and 5.9 kg at 3 and 6 months postintervention,"
What are some medicinal plants mentioned in Atharvaveda and what ailments can they help with,"Atharvaveda is the fourth and last Veda of Hindu literature. Its oldest name was ATHARVANGIRASAH, because it was contributed by two sages, ATHARVAN and ANGIRA. It is also known as Bhaishajjvaveda. Atharvaveda gives information regarding plants, minerals and animal products with their usage for medical purposes. For example, Apamarga, a plant is useful for cough, piles, itching and abdominal pain, wherea Lavana is useful for pimples Shankha useful to protect from diseases and Mriga Shringa is useful for pulmonary consumption and other chronic diseases etc.","According to Atharvaveda and its materia medica, the Atharvaveda provides information on various Ayurvedic remedies. For instance, the plant Apamarga is useful for treating cough, piles, itching, and abdominal pain. Lavana is useful for treating pimples, Shankha is useful for protection from diseases, and Mriga Shringa is beneficial for pulmonary consumption and other chronic diseases."
What are some health benefits of practicing Thavam Yoga as explained in Thirumandiram 3000,"Extraordinary longevity of life, made possible by repeated reading and following of the text Thirumandiram 3000 - written by great Siddhar Thirumlar. He the Prince of Mystics is one of the 18 luminous Siddhars and the first and foremost 1 Siva iddhndi. Historians and scholars predicted his life period between 5th to 8th centuries AD. In his teachings, he explained the kinds of Thavam Yoga and he insisted the 2 Kya siddhi. Thousands of years ago, he wrote in detail about Anatomy of microcosm, Siddha physiology, Humoural pathology, Science of pulse, Microcosmic Atom theory, Immunology concept and Immortalization of our body. His marvelous text Thirumandiram deals with Medical science, Life science, Natural science and Divine. In this article authors, discuss about the biography of Thirumlar and his medical works.","According to Thirumlar--pioneer of the immunology concept, the Ayurvedic remedy information in this research revolves around the teachings of Siddhar Thirumlar. His text, Thirumandiram 3000, discusses various concepts such as Thavam Yoga and Kya siddhi. He also detailed the Anatomy of microcosm, Siddha physiology, Humoural pathology, Science of pulse, Microcosmic Atom theory, Immunology concept and methods for Immortalization of the body."
What is the Ayurvedic approach to treating Vitiligo or skin diseases like Kilsa,The earliest known reference to Kilsa was in 2200 B.C. in the period of Aushooryan. In 1550 B.C. information regarding Vitiligo was noted in the Ebers Papyrus. Atharvavda also carries the description of the disease Kilsa along with several herbal prescriptions. Buddhist literature Ptiks especially Vinaya Ptika carries the description of Kilsa. Old Testament also carries the description of white spots i.e. in the Leviticus chapter 13. In ayurvda the word Kua was used for all types of skin diseases. Both Kilsa and Switra are mentioned together in ayurvda because of similarity in their aetiology. Kilsa is also called as Bhya external Kua. It is classified into three types based on three Ds. Prognosis of the disease was also described in ayurvda. This disease can be compared with Vitiligoleucoderma in modern medicine. The Roman Physician Celsus first coined the term Vitiligo in the 2nd Century A.D. This article carries medico-historical references of Kilsa from ancient to modern literature.,"According to Medico-historical study of Kilasa vitiligoleucoderma a common skin disorder, the disease Kilsa, which can be compared to Vitiligo or leucoderma in modern medicine, is discussed in Ayurveda. The term was used for all types of skin diseases and is often mentioned alongside Switra due to their similar aetiology. Kilsa is also referred to as Bhya external Kua and is classified into three types based on the three Ds. The prognosis of the disease was also described in Ayurveda. Additionally, Ayurveda provides several herbal prescriptions to treat Kilsa."
What are some marine resources used in Ayurvedic medicines,"Natural resources such as plants, animals and minerals have always been used by mankind to develop drugs and marine world is no exception. Marine by-products like conches, pearls, mother of pearl shells, corals and so forth have been used by traditional Ayurvedic practitioners for centuries. The unique methods of these preparations are scientifically designed to eliminate unwanted impurities and convert them into bioavailable form. In this study, Conch Xanchus pyrum was used as a marine resource of calcium carbonate and was converted pharmaceutically from its aragonite form to calcite. All the steps of preparations and changes in the properties therein were documented and validated. Further, traditional as well as modern analytical tools were used to study its physical and chemical characters to develop a monograph. The physical characterization included particle size, X-ray diffraction XRD, Scanning Electron Microscopy SEM, Thermogravimetric Analysis TGA and Fourier Transform Infra-red FTIR. Metal composition and heavy metal limits were determined using Inductively Coupled Plasma Optical Emission Spectrometry ICPOES. This study revealed the rearrangement of aragonite crystals into calcite form by grinding, trituration with aloe vera juice and incineration under controlled conditions. Moreover, the finished product was found to be devoid of organic matrix that is nacre. This study creates a foundation for the development of a master formula for commonly used Shankha Bhasma in Ayurvedic medicines.","According to Pharmaceutical Standardization and Physicochemical Characterization of Traditional Ayurvedic Marine Drug Incinerated Conch Shell Shankha Bhasma, the Ayurvedic remedy involves the use of a Conch Xanchus pyrum as a marine resource of calcium carbonate. This is pharmaceutically converted from its aragonite form to calcite through grinding, trituration with aloe vera juice, and incineration under controlled conditions. The end product, known as Shankha Bhasma in Ayurvedic medicine, is devoid of the organic matrix nacre. This study paves the way for the development of a master formula for commonly used Shankha Bhasma in Ayurvedic medicines"
What does Ayurveda suggest about the care and treatment of elephants,"Ayurvda, the oldest existing medical science of India, which is not only responsible for the health of human beings but also, plays an important in Veterinary sciences. In India, history of traditional Veterinary medicine dates back to the era of Mahbhrata i.e.5000 B.C., recorded in the form of Nakula Samhhit. Hastyurvda is a treatise on elephants, Palkpya wrote this Samhit. The present book is available as a complete Samhit, edited by Pandit Shivadutta Sharma. Hastyurvda was printed at Anandrama press in 1894. Hastyurvda has 160 Adhyys. This Samhit is based on fundamental principles of Ayurvda, containing all aspects of Sharir including Anatomy Physiology, Rog Vigyna, Surgery and Treatment of elephants as well as their care. It is the one and only complete printed Samhit and rare book on Hastyurvda by Palkpya.","According to Hastyyurvda--a complete treatise on elephants, the key Ayurvedic remedy information is related to the health, care, and treatment of elephants. The Samhit, Hastyurvda, written by Palkpya, covers all aspects of Sharir including Anatomy Physiology, Rog Vigyna, Surgery and Treatment of elephants."
Are there any harmful substances in over-the-counter Ayurvedic health supplements,"OBJECTIVES Ayurvedic formulations are becoming the prior choice of people as health care supplements. The increasing demand for these formulations has led to extensive development of Ayurvedic pharmaceutical industries worldwide. The reaction between the preservatives sodium benzoates and ascorbic acid used in these formulations could generate benzene. Benzene is classified as class-1 human carcinogen and responsible for various short and long term health effects. METHODS In this study, 25 formulations containing ascorbic acid and sodium benzoate of various manufacturers available as over the counter products were obtained and their benzene content were determined using gas chromatograph with flame ionization detector. RESULTS The result showed that 64 of the formulations were free from benzene contamination whereas 36 of formulations were found to be contaminated with benzene. A simple, less time-consuming, economic, and validated gas chromatographic method for estimation of benzene in Ayurvedic formulations was also developed successfully in present study. CONCLUSIONS The data revealed that the level of benzene was within permissible limits, yet the presence of a carcinogen in the marketed formulations intended for internal use is an alarming situation.","According to Ayurvedic formulations containing benzoic and ascorbic acids as additives benzene formation during storage and impact of additives on quality parameters, Ayurvedic formulations containing ascorbic acid and sodium benzoate may generate benzene, a class-1 human carcinogen. It was found that 36 of the tested formulations were contaminated with benzene. However, the level of benzene was still within permissible limits. The presence of this carcinogen in products intended for internal use is a matter of concern. The study provided a simple, less time-consuming, economic, and validated method for estimating benzene in Ayurvedic formulations."
