PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Full Text Link
34302162,Inflammation and ROS in arthritis: management by Ayurvedic medicinal plants,"Prasad S, Kulshreshtha A, Lall R, Gupta SC.",Food Funct. 2021 Sep 20;12(18):8227-8247. doi: 10.1039/d1fo01078f.,Prasad S,Food Funct,2021,24/07/21,,,10.1039/d1fo01078f,https://doi.org/10.1039/d1fo01078f
32783987,Withania somnifera (L.) Dunal - Modern perspectives of an ancient Rasayana from Ayurveda,"Mukherjee PK, Banerjee S, Biswas S, Das B, Kar A, Katiyar CK.",J Ethnopharmacol. 2021 Jan 10;264:113157. doi: 10.1016/j.jep.2020.113157. Epub 2020 Aug 9.,Mukherjee PK,J Ethnopharmacol,2021,14/08/20,,,10.1016/j.jep.2020.113157,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(20)33039-7
37522786,MANAGING ARTHRITIS PAIN: MEDICATIONS AND LIFESTYLE CHANGES,"Goyal B, Bishnoi S, Parveen S, Patel D, Yasmeen -, Tarekar A.",Georgian Med News. 2023 Jun;(339):117-122.,Goyal B,Georgian Med News,2023,31/07/23,,,,No full text link found
21547047,Ayurveda-modern medicine interface: A critical appraisal of studies of Ayurvedic medicines to treat osteoarthritis and rheumatoid arthritis,"Chopra A, Saluja M, Tillu G.",J Ayurveda Integr Med. 2010 Jul;1(3):190-8. doi: 10.4103/0975-9476.72620.,Chopra A,J Ayurveda Integr Med,2010,07/05/11,PMC3087360,,10.4103/0975-9476.72620,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/21547047/
11448551,Antioxidant potential of two polyherbal. preparations used in Ayurveda for the treatment of rheumatoid arthritis,"Thabrew MI, Senaratna L, Samarawickrema N, Munasinghe C.",J Ethnopharmacol. 2001 Aug;76(3):285-91. doi: 10.1016/s0378-8741(01)00213-6.,Thabrew MI,J Ethnopharmacol,2001,13/07/01,,,10.1016/s0378-8741(01)00213-6,https://linkinghub.elsevier.com/retrieve/pii/S0378874101002136
33624882,Role of natural products in alleviation of rheumatoid arthritis-A review,"Sharma D, Chaubey P, Suvarna V.",J Food Biochem. 2021 Apr;45(4):e13673. doi: 10.1111/jfbc.13673. Epub 2021 Feb 24.,Sharma D,J Food Biochem,2021,24/02/21,,,10.1111/jfbc.13673,https://doi.org/10.1111/jfbc.13673
23472041,Managing arthritis: the need to think about whole systems,"Dieppe P, Marsden D.",Rheumatology (Oxford). 2013 Aug;52(8):1345-6. doi: 10.1093/rheumatology/ket127. Epub 2013 Mar 7.,Dieppe P,Rheumatology (Oxford),2013,09/03/13,,,10.1093/rheumatology/ket127,https://academic.oup.com/rheumatology/article-lookup/doi/10.1093/rheumatology/ket127
27329782,RAACFDb: Rheumatoid arthritis ayurvedic classical formulations database,"Mohamed Thoufic Ali AM, Agrawal A, Sajitha Lulu S, Mohana Priya A, Vino S.",J Ethnopharmacol. 2017 Feb 2;197:87-91. doi: 10.1016/j.jep.2016.06.047. Epub 2016 Jun 18.,Mohamed Thoufic Ali AM,J Ethnopharmacol,2017,23/06/16,,,10.1016/j.jep.2016.06.047,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(16)30407-X
29426006,Effectiveness of an Ayurveda treatment approach in knee osteoarthritis - a randomized controlled trial,"Kessler CS, Dhiman KS, Kumar A, Ostermann T, Gupta S, Morandi A, Mittwede M, Stapelfeldt E, Spoo M, Icke K, Michalsen A, Witt CM.",Osteoarthritis Cartilage. 2018 May;26(5):620-630. doi: 10.1016/j.joca.2018.01.022. Epub 2018 Feb 7.,Kessler CS,Osteoarthritis Cartilage,2018,10/02/18,,,10.1016/j.joca.2018.01.022,https://linkinghub.elsevier.com/retrieve/pii/S1063-4584(18)30082-7
15894123,Antioxidant approach to disease management and the role of 'Rasayana' herbs of Ayurveda,"Govindarajan R, Vijayakumar M, Pushpangadan P.",J Ethnopharmacol. 2005 Jun 3;99(2):165-78. doi: 10.1016/j.jep.2005.02.035. Epub 2005 Apr 26.,Govindarajan R,J Ethnopharmacol,2005,17/05/05,,,10.1016/j.jep.2005.02.035,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(05)00228-X
33977680,Efficacy of Ayurvedic treatment protocol in gouty arthritis - a clinical study,"Vaprath Kuniyil AR, Soman D, Kundagol MC, Chacko J.",J Complement Integr Med. 2021 May 11;20(1):278-283. doi: 10.1515/jcim-2020-0301. eCollection 2023 Mar 1.,Vaprath Kuniyil AR,J Complement Integr Med,2021,12/05/21,,,10.1515/jcim-2020-0301,https://www.degruyter.com/document/doi/10.1515/jcim-2020-0301
27833362,Ayurvedic research and methodology: Present status and future strategies,"Chauhan A, Semwal DK, Mishra SP, Semwal RB.",Ayu. 2015 Oct-Dec;36(4):364-369. doi: 10.4103/0974-8520.190699.,Chauhan A,Ayu,2015,12/11/16,PMC5041382,,10.4103/0974-8520.190699,http://www.ayujournal.org/article.asp?issn=0974-8520;year=2015;volume=36;issue=4;spage=364;epage=369;aulast=Chauhan
32768345,Management of juvenile spondyloarthropathy through Ayurveda:- a case report,"Verma J, Bhoyar B.",J Ayurveda Integr Med. 2021 Jan-Mar;12(1):143-147. doi: 10.1016/j.jaim.2020.06.008. Epub 2020 Aug 5.,Verma J,J Ayurveda Integr Med,2021,10/08/20,PMC8039353,,10.1016/j.jaim.2020.06.008,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(18)31032-5
32390696,Telemedicine for Ayurveda consultation: Devising collateral methods during the COVID-19 lockdown impasse,"Rastogi S, Singh N, Pandey P.",J Ayurveda Integr Med. 2022 Jan-Mar;13(1):100316. doi: 10.1016/j.jaim.2020.05.001. Epub 2020 May 8.,Rastogi S,J Ayurveda Integr Med,2022,12/05/20,PMC7205709,,10.1016/j.jaim.2020.05.001,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(20)30023-1
15846585,Ayurvedic medicine for rheumatoid arthritis: a systematic review,"Park J, Ernst E.",Semin Arthritis Rheum. 2005 Apr;34(5):705-13. doi: 10.1016/j.semarthrit.2004.11.005.,Park J,Semin Arthritis Rheum,2005,23/04/05,,,10.1016/j.semarthrit.2004.11.005,https://linkinghub.elsevier.com/retrieve/pii/S0049017204002215
37703672,A case-control study for exploring the association of Prakriti with Rheumatoid Arthritis,"Chinthala R, Baghel AS, Shubhangi K, Bhagavathi NNL.",J Ayurveda Integr Med. 2023 Sep-Oct;14(5):100789. doi: 10.1016/j.jaim.2023.100789. Epub 2023 Sep 11.,Chinthala R,J Ayurveda Integr Med,2023,13/09/23,PMC10505973,,10.1016/j.jaim.2023.100789,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(23)00105-5
23281076,Curcumin in inflammatory diseases,"Shehzad A, Rehman G, Lee YS.",Biofactors. 2013 Jan-Feb;39(1):69-77. doi: 10.1002/biof.1066. Epub 2012 Dec 22.,Shehzad A,Biofactors,2013,03/01/13,,,10.1002/biof.1066,https://doi.org/10.1002/biof.1066
38016365,Investigating antiarthritic potential of polyherbal emulgel,"Rana N, Gupta P, Singh V, Ali M.",J Ayurveda Integr Med. 2023 Nov-Dec;14(6):100828. doi: 10.1016/j.jaim.2023.100828. Epub 2023 Nov 27.,Rana N,J Ayurveda Integr Med,2023,28/11/23,PMC10711174,,10.1016/j.jaim.2023.100828,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(23)00145-6
38056374,Aam assessment instrument for disease activity in Aamavata: Scope and challenges,"Wagh S, Raut A.",J Ayurveda Integr Med. 2023 Nov-Dec;14(6):100816. doi: 10.1016/j.jaim.2023.100816. Epub 2023 Dec 5.,Wagh S,J Ayurveda Integr Med,2023,06/12/23,PMC10749233,,10.1016/j.jaim.2023.100816,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(23)00133-X
32746480,A Comprehensive Review on Physiological Effects of Curcumin,"Ahsan R, Arshad M, Khushtar M, Ahmad MA, Muazzam M, Akhter MS, Gupta G, Muzahid M.",Drug Res (Stuttg). 2020 Oct;70(10):441-447. doi: 10.1055/a-1207-9469. Epub 2020 Aug 3.,Ahsan R,Drug Res (Stuttg),2020,04/08/20,,,10.1055/a-1207-9469,https://www.thieme-connect.com/DOI/DOI?10.1055/a-1207-9469
33281390,Therapeutic influence of some dietary articles on gut microbiota in the pathogenesis of rheumatoid arthritis (Amavata) - A review,"Aswathy YS, Anandaraman PV.",Ayu. 2019 Jul-Sep;40(3):147-151. doi: 10.4103/ayu.AYU_192_19. Epub 2020 Aug 8.,Aswathy YS,Ayu,2019,07/12/20,PMC7685262,,10.4103/ayu.AYU_192_19,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/33281390/
32240781,Neurodegenerative diseases and Withania somnifera (L.): An update,"Dar NJ, Muzamil Ahmad.",J Ethnopharmacol. 2020 Jun 28;256:112769. doi: 10.1016/j.jep.2020.112769. Epub 2020 Mar 30.,Dar NJ,J Ethnopharmacol,2020,03/04/20,,,10.1016/j.jep.2020.112769,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(19)33930-3
21773714,Comparable efficacy of standardized Ayurveda formulation and hydroxychloroquine sulfate (HCQS) in the treatment of rheumatoid arthritis (RA): a randomized investigator-blind controlled study,"Chopra A, Saluja M, Tillu G, Venugopalan A, Narsimulu G, Handa R, Bichile L, Raut A, Sarmukaddam S, Patwardhan B.",Clin Rheumatol. 2012 Feb;31(2):259-69. doi: 10.1007/s10067-011-1809-z. Epub 2011 Jul 20.,Chopra A,Clin Rheumatol,2012,21/07/11,,,10.1007/s10067-011-1809-z,https://dx.doi.org/10.1007/s10067-011-1809-z
12594124,Ayurveda in ankylosing spondylitis and low back pain,"Falkenbach A, Oberguggenberger R.",Ann Rheum Dis. 2003 Mar;62(3):276-7. doi: 10.1136/ard.62.3.276.,Falkenbach A,Ann Rheum Dis,2003,21/02/03,PMC1754462,,10.1136/ard.62.3.276,https://ard.bmj.com/lookup/pmidlookup?view=long&pmid=12594124
37301302,"Commiphora mukul (Hook. ex Stocks) Engl.: Historical records, application rules, phytochemistry, pharmacology, clinical research, and adverse reaction","Garang Z, Feng Q, Luo R, La M, Zhang J, Wu L, Wang Z, Zeweng Y, Jiangyong S.",J Ethnopharmacol. 2023 Dec 5;317:116717. doi: 10.1016/j.jep.2023.116717. Epub 2023 Jun 8.,Garang Z,J Ethnopharmacol,2023,10/06/23,,,10.1016/j.jep.2023.116717,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(23)00585-8
38284718,Exploring the Promising Role of Guggulipid in Rheumatoid Arthritis Management: An In-depth Analysis,"Sahu A, Rathee S, Jain SK, Patil UK.",Curr Rheumatol Rev. 2024;20(5):469-487. doi: 10.2174/0115733971280984240101115203.,Sahu A,Curr Rheumatol Rev,2024,29/01/24,,,10.2174/0115733971280984240101115203,https://www.eurekaselect.com/226273/article
23376280,Nyctanthes arbor-tristis Linn--a critical ethnopharmacological review,"Agrawal J, Pal A.",J Ethnopharmacol. 2013 Apr 19;146(3):645-58. doi: 10.1016/j.jep.2013.01.024. Epub 2013 Jan 30.,Agrawal J,J Ethnopharmacol,2013,05/02/13,,,10.1016/j.jep.2013.01.024,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(13)00053-6
22512551,Cyclin-dependent kinase inhibition by flavoalkaloids,"Jain SK, Bharate SB, Vishwakarma RA.",Mini Rev Med Chem. 2012 Jun;12(7):632-49. doi: 10.2174/138955712800626683.,Jain SK,Mini Rev Med Chem,2012,20/04/12,,,10.2174/138955712800626683,https://www.eurekaselect.com/98248/article
22996324,Herbal medicine for rheumatic diseases: promises kept?,Kolasinski SL.,Curr Rheumatol Rep. 2012 Dec;14(6):617-23. doi: 10.1007/s11926-012-0293-z.,Kolasinski SL,Curr Rheumatol Rep,2012,22/09/12,,,10.1007/s11926-012-0293-z,https://dx.doi.org/10.1007/s11926-012-0293-z
26728196,Benefits of antioxidant supplements for knee osteoarthritis: rationale and reality,"Grover AK, Samson SE.",Nutr J. 2016 Jan 5;15:1. doi: 10.1186/s12937-015-0115-z.,Grover AK,Nutr J,2016,06/01/16,PMC4700773,,10.1186/s12937-015-0115-z,https://nutritionj.biomedcentral.com/articles/10.1186/s12937-015-0115-z
23723661,Management of rheumatoid arthritis (Aamavata) using symbiohealth healthcare system,"Basisht GK, Singh RH, Chandola H.",Ayu. 2012 Oct;33(4):466-74. doi: 10.4103/0974-8520.110513.,Basisht GK,Ayu,2012,01/06/13,PMC3665188,,10.4103/0974-8520.110513,http://www.ayujournal.org/article.asp?issn=0974-8520;year=2012;volume=33;issue=4;spage=466;epage=474;aulast=Basisht;type=2
29754136,Unravelling the NERDS syndrome,"Singh AD, Suri TM, Jagdish RK, Kumar U.",BMJ Case Rep. 2018 May 12;2018:bcr2017223506. doi: 10.1136/bcr-2017-223506.,Singh AD,BMJ Case Rep,2018,14/05/18,PMC5950571,,10.1136/bcr-2017-223506,https://casereports.bmj.com/lookup/pmidlookup?view=long&pmid=29754136
39006656,"Utilization of Ayurveda, Yoga, Naturopathy, Unani, Siddha, and Homoeopathy (AYUSH) Practitioners' Services Among Older Adults: Results From the Longitudinal Aging Study in India","Mohanty P, Kishore J, Acharya GC, Mohanty I, Patnaik L, Bhowmik B, Sahoo M, Satpathy N, Sahoo PK, Jena PK.",Cureus. 2024 Jun 11;16(6):e62192. doi: 10.7759/cureus.62192. eCollection 2024 Jun.,Mohanty P,Cureus,2024,15/07/24,PMC11239359,,10.7759/cureus.62192,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/39006656/
31731424,Withania Somnifera (Ashwagandha) and Withaferin A: Potential in Integrative Oncology,"Dutta R, Khalil R, Green R, Mohapatra SS, Mohapatra S.",Int J Mol Sci. 2019 Oct 25;20(21):5310. doi: 10.3390/ijms20215310.,Dutta R,Int J Mol Sci,2019,17/11/19,PMC6862083,,10.3390/ijms20215310,https://www.mdpi.com/resolver?pii=ijms20215310
17569205,Curcumin: the Indian solid gold,"Aggarwal BB, Sundaram C, Malani N, Ichikawa H.",Adv Exp Med Biol. 2007;595:1-75. doi: 10.1007/978-0-387-46401-5_1.,Aggarwal BB,Adv Exp Med Biol,2007,16/06/07,,,10.1007/978-0-387-46401-5_1,https://dx.doi.org/10.1007/978-0-387-46401-5_1
10403289,Rheumatic diseases in Ayurveda: a historical perspective,"Ulrich-Merzenich G, Kraft K, Singh LM.",Arthritis Rheum. 1999 Jul;42(7):1553-5. doi: 10.1002/1529-0131(199907)42:7<1553::AID-ANR34>3.0.CO;2-G.,Ulrich-Merzenich G,Arthritis Rheum,1999,14/07/99,,,10.1002/1529-0131(199907)42:7<1553::AID-ANR34>3.0.CO;2-G,https://onlinelibrary.wiley.com/doi/10.1002/1529-0131(199907)42:7%3C1553::AID-ANR34%3E3.0.CO;2-G
21234398,Immunomodulation of Autoimmune Arthritis by Herbal CAM,"Venkatesha SH, Rajaiah R, Berman BM, Moudgil KD.",Evid Based Complement Alternat Med. 2011;2011:986797. doi: 10.1155/2011/986797. Epub 2010 Dec 22.,Venkatesha SH,Evid Based Complement Alternat Med,2011,15/01/11,PMC3014691,,10.1155/2011/986797,https://doi.org/10.1155/2011/986797
21059382,Critical review on medicinally potent plant species: Gloriosa superba,"Jana S, Shekhawat GS.",Fitoterapia. 2011 Apr;82(3):293-301. doi: 10.1016/j.fitote.2010.11.008. Epub 2010 Nov 6.,Jana S,Fitoterapia,2011,10/11/10,,,10.1016/j.fitote.2010.11.008,https://linkinghub.elsevier.com/retrieve/pii/S0367-326X(10)00288-1
34529902,Phytochemistry and pharmacology of Celastrus paniculatus Wild.: a nootropic drug,Aleem M.,J Complement Integr Med. 2021 Sep 15;20(1):24-46. doi: 10.1515/jcim-2021-0251. eCollection 2023 Mar 1.,Aleem M,J Complement Integr Med,2021,16/09/21,,,10.1515/jcim-2021-0251,https://www.degruyter.com/document/doi/10.1515/jcim-2021-0251
36817000,Inhibitory effects of mixed flavonoid supplements on unraveled DSS-induced ulcerative colitis and arthritis,"Panda SP, Mahamat MSA, Rasool MA, Prasanth D, Ismail IA, Abasher MAA, Jena BR.",Bioimpacts. 2023;13(1):73-84. doi: 10.34172/bi.2022.23523. Epub 2022 Dec 31.,Panda SP,Bioimpacts,2023,23/02/23,PMC9923810,,10.34172/bi.2022.23523,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/36817000/
22987043,Intersection of inflammation and herbal medicine in the treatment of osteoarthritis,Mobasheri A.,Curr Rheumatol Rep. 2012 Dec;14(6):604-16. doi: 10.1007/s11926-012-0288-9.,Mobasheri A,Curr Rheumatol Rep,2012,19/09/12,PMC3481054,,10.1007/s11926-012-0288-9,https://dx.doi.org/10.1007/s11926-012-0288-9
27671824,Gambogic Acid and Its Role in Chronic Diseases,"Pandey MK, Karelia D, Amin SG.",Adv Exp Med Biol. 2016;928:375-395. doi: 10.1007/978-3-319-41334-1_15.,Pandey MK,Adv Exp Med Biol,2016,28/09/16,,,10.1007/978-3-319-41334-1_15,https://dx.doi.org/10.1007/978-3-319-41334-1_15
22556897,Rheumatoid arthritis and astercantha longifolia,Thankamma A.,Anc Sci Life. 1999 Jan;18(3-4):247-9.,Thankamma A,Anc Sci Life,1999,05/05/12,PMC3336470,,,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/22556897/
24511547,Phytochemical and pharmacological properties of Gymnema sylvestre: an important medicinal plant,"Tiwari P, Mishra BN, Sangwan NS.",Biomed Res Int. 2014;2014:830285. doi: 10.1155/2014/830285. Epub 2014 Jan 6.,Tiwari P,Biomed Res Int,2014,11/02/14,PMC3912882,,10.1155/2014/830285,https://doi.org/10.1155/2014/830285
31142786,Herbo-mineral formulation 'Ashwashila' attenuates rheumatoid arthritis symptoms in collagen-antibody-induced arthritis (CAIA) mice model,"Balkrishna A, Sakat SS, Joshi K, Paudel S, Joshi D, Joshi K, Ranjan R, Gupta A, Bhattacharya K, Varshney A.",Sci Rep. 2019 May 29;9(1):8025. doi: 10.1038/s41598-019-44485-9.,Balkrishna A,Sci Rep,2019,31/05/19,PMC6541602,,10.1038/s41598-019-44485-9,https://doi.org/10.1038/s41598-019-44485-9
37017881,"Therapeutic Application, Phytoactives and Pharmacology of Tinospora cordifolia: An Evocative Review","Ahsan R, Mishra A, Badar B, Owais M, Mishra V.",Chin J Integr Med. 2023 Jun;29(6):549-555. doi: 10.1007/s11655-023-3733-2. Epub 2023 Apr 5.,Ahsan R,Chin J Integr Med,2023,05/04/23,PMC10073789,,10.1007/s11655-023-3733-2,https://dx.doi.org/10.1007/s11655-023-3733-2
38857679,"In vitro and in vivo studies of the therapeutic potential of Tinospora crispa extracts in osteoarthritis: Targeting oxidation, inflammation, and chondroprotection","Llamasares-Castillo A, Uclusin-Bolibol R, Rojsitthisak P, Alcantara KP.",J Ethnopharmacol. 2024 Oct 28;333:118446. doi: 10.1016/j.jep.2024.118446. Epub 2024 Jun 8.,Llamasares-Castillo A,J Ethnopharmacol,2024,10/06/24,,,10.1016/j.jep.2024.118446,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(24)00745-1
17900536,"Curcumin as ""Curecumin"": from kitchen to clinic","Goel A, Kunnumakkara AB, Aggarwal BB.",Biochem Pharmacol. 2008 Feb 15;75(4):787-809. doi: 10.1016/j.bcp.2007.08.016. Epub 2007 Aug 19.,Goel A,Biochem Pharmacol,2008,29/09/07,,,10.1016/j.bcp.2007.08.016,https://linkinghub.elsevier.com/retrieve/pii/S0006-2952(07)00575-8
36822147,Development and validation of an ama instrument for assessing the disease activity on the basis of constitutional features in Amavata (Rheumatoid Arthritis),"Pandey P, Rastogi S, Lawrence A, Agrawal GG.",J Ayurveda Integr Med. 2023 Mar-Apr;14(2):100689. doi: 10.1016/j.jaim.2023.100689. Epub 2023 Feb 21.,Pandey P,J Ayurveda Integr Med,2023,23/02/23,PMC9978619,,10.1016/j.jaim.2023.100689,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(23)00004-9
25062981,Ayurvedic interventions for osteoarthritis: a systematic review and meta-analysis,"Kessler CS, Pinders L, Michalsen A, Cramer H.",Rheumatol Int. 2015 Feb;35(2):211-32. doi: 10.1007/s00296-014-3095-y. Epub 2014 Jul 26.,Kessler CS,Rheumatol Int,2015,27/07/14,,,10.1007/s00296-014-3095-y,https://dx.doi.org/10.1007/s00296-014-3095-y
38748045,Exploring Sjögren's syndrome through interdisciplinary perspectives: a concise review,"Rathore T, Dattatri M.",J Immunoassay Immunochem. 2024 May 3;45(3):153-177. doi: 10.1080/15321819.2024.2353766. Epub 2024 May 15.,Rathore T,J Immunoassay Immunochem,2024,15/05/24,,,10.1080/15321819.2024.2353766,No full text link found
38788667,Chronic urine retention due to neurogenic bladder in a young woman treated through ayurveda: A case report,Sanjeev Rastogi.,J Ayurveda Integr Med. 2024 May-Jun;15(3):100926. doi: 10.1016/j.jaim.2024.100926. Epub 2024 May 23.,Sanjeev Rastogi,J Ayurveda Integr Med,2024,24/05/24,PMC11145534,,10.1016/j.jaim.2024.100926,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(24)00041-X
10748962,Traditional Indian systems of medicine,"Lodha R, Bagga A.",Ann Acad Med Singap. 2000 Jan;29(1):37-41.,Lodha R,Ann Acad Med Singap,2000,05/04/00,,,,No full text link found
21617554,"Double-blind, randomized, controlled, pilot study comparing classic ayurvedic medicine, methotrexate, and their combination in rheumatoid arthritis","Furst DE, Venkatraman MM, McGann M, Manohar PR, Booth-LaForce C, Sarin R, Sekar PG, Raveendran KG, Mahapatra A, Gopinath J, Kumar PR.",J Clin Rheumatol. 2011 Jun;17(4):185-92. doi: 10.1097/RHU.0b013e31821c0310.,Furst DE,J Clin Rheumatol,2011,28/05/11,,,10.1097/RHU.0b013e31821c0310,https://doi.org/10.1097/RHU.0b013e31821c0310
22626923,"The genus Commiphora: a review of its traditional uses, phytochemistry and pharmacology","Shen T, Li GH, Wang XN, Lou HX.",J Ethnopharmacol. 2012 Jul 13;142(2):319-30. doi: 10.1016/j.jep.2012.05.025. Epub 2012 May 21.,Shen T,J Ethnopharmacol,2012,26/05/12,,,10.1016/j.jep.2012.05.025,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(12)00335-2
