,context,question_normal,question_20yo,question_65yo
103,"Most health problems develop due to the wrong eating habits and cooking methods.  Ayurvĕda deals with the pathya, apathya or pathya vyavastha (planning of diet-  dietetics) in a very scientific and holistic way of Dietetics. The diet planning  mentioned in our classical literature is very rational and based on certain  principles. Lot of importance is given to the diet with regard to its  processing, quality, quantity and so on. Due consideration is given to the  atmosphere, psychological condition, status of health, digestion etc. of the  person while dealing with this issue. The diet should also be planned according  to the age, season, habitat and the preference of the person. In this paper the  fundamental principals of Pathya vyavastha (dietetics) with appropriate  references, recommended diet based on the texts and clinical findings for some  important diseases such as diabetes, liver diseases, acid -peptic disorders,  cardiac diseases are dealt with. The proper incorporation of diet not only can  prevent many preventable disorders but plays major role in the management of the  Diseases. Ayurvĕda has very holistic and scientific approach in planning the  diet. The fundamental principles like tridŏşa, prakrti, the tastes, processing  of food, the quality, quantity, and the rules regarding eating food if  considered while incorporating the diet one can keep away from many diseases of  body and mind.",What are some Ayurvedic dietary recommendations for managing diabetes and heart diseases?,"I've been feeling off lately, do you think it could be related to my diet and how can Ayurveda help?",What kind of diet should I follow to stay healthy and prevent diseases as I get older?
104,"The old age Ayurvedic claim about the therapeutic importance of metals and  mineral bhasmas are time tasted. To make available the evidence for use of  metals and minerals in therapeutics and to provide the knowledge of processing  techniques in ancient India it is very much necessary to look over the history.  Rasa săstra is the branch of Ayurvedic science which deals with the  pharmaceutical processings of the metals and minerals. Svarna Măksika is one of  the most important materials described in various Rasa literatures as well as in  Sarmhităs and in other Ayurvedic texts. Going through the different literatures  its different features, geological distributions and various processing  techniques like sŏdhana, mărana are found. In Samhită period only the features  were described but during 7th Cen. AD & onwards its processings were found. Now  a day Svarrna Măksika is correlated with chalcopyrite by modern metallurgists.  The features of chalcopyrite are also given to assist the more study in this  regard. In the current paper it is tried to collect and compile all the related  area about Svarna Măksika from all possible ancient literary resources as well  as from possible modern texts, to facilitate further research.",What is Svarna Măksika in Ayurvedic medicine and what are its potential health benefits?,I've heard some old health practices used metals and minerals for healing. Is there any truth to that and how does it work?,"What is this Svarna Măksika I've heard about in Ayurvedic medicine, and can it be used for any health issues I might have?"
105,"Palăśa (Butea monosperma (Lamk.) Taub.) is considered sacred both by Hindus and  Buddhists. It is known to the Hindus under the Sănskrt name Palăśa as it  possesses valuable medicinal properties. This sacred tree is being called the  treasurer of the gods and of sacrifice. It grows throughout India except in very  arid parts and is a medium sized deciduous tree. Parts used are bark, leaf,  flower, seed and gum. It is mainly useful as antihelmenthic appetizer,  aphrodisiac, laxative etc. Thus its medico- historical aspects are being  presented in this paper.",What are the medicinal properties of the Palăśa tree?,I heard about this tree called Palăśa that's supposed to have some health benefits. What kind of stuff can it help with?,I've been hearing about this Palăśa tree. Can it be used as a natural remedy for any health issues I might have?
106,"Man has been fascinated by nature since he evolved from his primitive ancestors,  the apes. No doubt to start with, he hunted for food mainly by killing the wild  animals, but if there was anything on which he could depend upon with any  confidence towards its availability, it was the plant. Not only the fact that a  large number of plants provided him with food but also the fact that they  provided him with curative medicine and shelter, were perhaps the reasons why he  worshiped them more than the animals which also gave him food. There are a large  number of plants, which are used by the people all over India for curse against  witchcraft or to remove the effect of the evil eye and sickness. The use of the  flora in India to relieve mankind from their sufferings was known from the  ancient days. This includes all food, fuel, shelter, drugs, cosmetics etc. The  standards have been maintained for several centuries since the disciples were  trained in the forest close to the natural flora. In the present paper certain  useful methodologies are evaluated for preparing standard Herbal formulations  and focus mainly on two things namely drug (Dravya) and industry (pharmaceutical  industry).",What are some common plants in India used for medicinal purposes?,Are there any natural remedies or plants that I can use to help with my anxiety and stress?,Are there any plants or herbs that I can use to protect myself from sickness or bad luck?
107,"Kautilya's Arthaśastra which was written somewhere in 321-300 B.C. on ancient  Indian Polity, holds a unique place in Indian history and culture. It was  discovered at Tanjavore district of Mysore in Karnataka. The Manuscript of  Arthaśastra (Devanagiri script) traced by Sri Munisri Jinavijayajee of Patna.  Mr. Shyama Sastry had first published the translated text in 1909 as Volume 37  of the Bibliotheca Sanskrta of Mysore. There are 150 chapters in this work. The  author of this work, Kautilya is also known as Visnugupta or Canakya. The author  himself in the concluding verse of the Arthaśastra quoted his name as  Visnugupta. The later writers on his works also designated his name as Cinakya.  It was also translated into German and Russian languages. The plants and herbs  having medicinal value were compiled the Arthaśastra to bring out the knowledge  of the period and how the people honored, patronized, considered their own  indigenous system as a part of their life. Same information is being presented  in this article.",What are some medicinal plants and herbs mentioned in Kautilya's Arthaśastra?,What's the deal with this ancient Indian text called the Arthaśastra? Does it have some cool health tips from back in the day?,Is there any ancient Indian wisdom about using plants or herbs for health benefits that I could incorporate into my daily routine?
108,"Though the Nidana book of Madhavakara has been very popular among Ayurvedic  fraternity his other deeds on Dravyaguna, Cikitsa etc. could not come to lime  light due to lack of sufficient number of manuscripts for comparison and  editing. One such text is Paryaya Muktavali, manuscripts of which are plentily  available in the State of Orissa. This modified text redacted by Hari Charana  Sena, is a bright example of scribal error and missing of verses which occur  during repeated scribe in palm leaf manuscript. This is a lexicon of drugs,  which is prime necessity of Dravyaguna and Rasaśastra. Publication of such text  will be an addition to the treasure of Ayurvedic texts.",What are some Ayurvedic herbs mentioned in the Paryaya Muktavali text that can be used for health benefits?,"I've heard about Ayurveda before, but I'm not sure where to start. Are there any specific texts or resources you would recommend to learn more?",Are there any natural remedies or herbs mentioned in these Ayurvedic texts that could help with my arthritis pain?
109,"Nyagrŏdha the Banyan tree (Ficus bengalensis Linn.) is a sacred medicinal plant  since Vedic times. The English name Banyan is given by the Britishers to this  tree because under the tree Banias i.e., the Hindu merchants used to assemble  for business. The triad Ganges, the Himalayas and the Banyan tree are symbolise  the images of India, hence it is considered as National Tree. Ficus means fig  and bengalensis means belonging to or is of Bengal. To the most of Indians it is  Sacred and symbolizes all three Gods of Hindus. The bark represents Lord Visnu,  Brahma the roots and Siva the branches. Since Vedic times its small branches are  used in Yajña (a sacrificial rite) and known for its giant structure. Alexander  the Great is said to have camped under a banyan tree, which was big enough to  shelter his whole army of 7,000 men. As per Vĕda it checks the environmental  pollution and one of the source of Lăksă (Lac). Its medicinal importance is well  documented in Ayurvĕda literature. However, more research needs for  understanding the medicinal properties of this symbolic tree.",What are some medicinal benefits of the Banyan tree according to Ayurveda?,I've heard that the Banyan tree has medicinal properties. How can it be used for health benefits?,Does the Banyan tree have any health benefits that could help me feel better as I get older?
110,"The whole universe is intermingling into a unit in the period of globalization.  Different cultures, life-styles and sciences are co-operating with each other in  this situation. World Health Organization is working towards collaborating all  prevalent medical sciences for attainment of good health and family welfare for  each and every individual by 2020. Astrology is a part of Indian heritage.  Astrology means the art of predicting or determining the influence of the  planets and stars on human affairs. The origin of this word is from Greek word  astron, star + logos (discourse). The account of deeds of good and bad during  the present life and previous lives, their consequences of health or ill health  during this life i.e. what, when and how the things takes place will be clearly  known through Astrology. Highly advanced knowledge related to Astrology on  medicine is preserved in Indian scriptures and the knowledge was transmitted  from generation to generation. It is also a good source for health promotion,  preventive, curative and other medical aspects. Brief direction related to  astrological medical aspects is also available in Ayurvedic literature  (Carakasamhită, Suśrutasamhhită, Aşţăngasangraha, Aşţăngahŗdaya,  Sărngadharasamhită , Băvaprakăśa etc.) Some Ayurvedic practitioners, scholars  and scientists realize the need of astrological knowledge related to medicine in  the present time. In ancient times physician, astrologer and purŏhita (Hindu  priest) simultaneously looked after the health and family welfare of individual,  families and country. Astrologer guides medication and suitable time for the  better cure of ailments. Even the medicinal herbs were collected and treated at  appropriate time for their efficacy. Astrology and Ayurvĕda are inseparable  sciences of life. Hence, in this article, a concise astrological evaluation  related to health promotion, preventive and curative aspects of Astrology is  being presented.",How can astrology influence health promotion and prevention according to Ayurvedic beliefs?,I've heard about astrology being linked to health. Can horoscopes really help me understand what's going on with my body and how I can take care of it better?,Can astrology provide any guidance on the best times to take my medication or any natural remedies for my health issues?
111,"Safety and efficacy of a drug mainly depends on the method of preparation. To  assess the quality of a finished product, there should be some basic standards  as well as methods of preparation. There are several parameters for testing the  quality of a chemical drug, which have, are true indicators. So, there is no  problem in assessing a synthetic drug's quality. As far as the preparation used  in Ayurvĕdic system of medicine, a drug formulation or design may not be a  problem, because many formulations are well documented in classical texts. But,  there is confusion with respect to standards to be followed while preparing a  formulation as well as basic parameters to assess the quality of the finished  product. In Ayurvĕda, pañcavidhakaşăyakalpana are the basic pharmaceutical  preparations, from which all the other preparations are developed. A specific  method for each and every preparation and some basic standards of finished  products are mentioned in Ayurvĕdic texts to maintain their quality. This  information may some times vary from text to text. To overcome this problem  Sărangdhara mentioned detailed information about various formulations with  respect to their methods of preparation as well as basic standards and are  documented in Sărangdhara Samhita.",What are the basic standards for assessing the quality of Ayurvedic medicine preparations?,"I'm interested in trying out some Ayurvedic remedies, but how can I be sure they're made properly and are safe to use?","Is there a standard way to ensure the quality of Ayurvedic medicine preparations, since I've heard it can vary?"
112,"Udumbara is well known drug for its use since ancient times. Atharvaveda  considers this as a divine plant and much used in religious sacrifice. It is  also called as Yajñodumbara. It grows abundantly in all parts of India. In  Ayurveda bark, leaves and unripe fruits etc. are used externally and internally  to cure many diseases like Pravahika (Dysentery), Pradara (Menorrhagia),  Raktapitta (Haemoptysis) etc. Thus its medico-historical importance and other  details have been presented in this article.",What are some health benefits of the Udumbara plant in Ayurvedic medicine?,I've been hearing a lot about this Udumbara plant. Can it really help with stuff like stomach problems or heavy periods?,I've been having some stomach troubles lately. Would the Udumbara plant be helpful in treating digestive issues like dysentery naturally?
113,"In the doctrines of Ayurveda the twak rogas are known by the general term  Kushtha. Atharvaveda describes the twak roga in the name of Kilasa, palita, with  the clinical picture of grey and white spots, generally from deeper layers of  skin and referred the herbal remedies. Almost all the samhitas uniformly  classified Kushtha as Maha Kushtha and Kshudra Kushtha, but there is difference  of opinion about the number in each group. The historical perspectives of the  Twak rogas (Kushtha) are being presented according to Rigveda, Atharvaveda,  Charaka, Sushruta, Vagbhata, Madhavakara Todaramalla.",What are some Ayurvedic remedies for skin conditions like grey and white spots?,I've noticed some grey and white spots on my skin lately. Are there any natural remedies from Ayurveda that might help?,I've noticed some grey and white spots on my skin recently. Are there any natural remedies or herbs that can help with this according to Ayurveda?
114,"Narahari Pandita, who was the son of Iśvarasuri and resident of Kashmir was an  erudite scholar of all branches of Sanskrit learning and was also well versed in  regional languages of Karnataka, Maharastra and Andhra. His work Raja-Nighantu  is also known as Nghantu Raja or Abhidhana Cudamani. His date may be placed in  17th century A.D. i.e. after Bhavamiśra. Some of the new and more interesting  plants added are, Brahmadandi, Dhumrapatra, Ekavira, Hastiśundi, Jambu, Jhandu,  Samudraphala, Svetamli, Sveta, Vrścika etc. Thus information about Narahari and  his work is presented in this article.","What are some beneficial plants mentioned in Narahari Pandita's work, Raja-Nighantu?",Who's this Narahari Pandita guy and why is his work about plants and stuff important?,Who is Narahari Pandita and what kind of work did he do with plants?
115,"Ayurveda considers Rasāyana as one of the foremost branches of Astānga Ayurveda  and have rightly justifies its status by the place its given in the Ayurvedic  treatises. The word Rasāyana should not be mistaken as a therapy exclusively  related to old age. It can be applied from pediatrics to geriatrics. Suśruta  defies Rasāyana as a measure, which prolongs and provides positive health,  improves mental faculties and provides resistance and immunity against diseases.  Caraka states that the means of obtaining optimum nourishment to the Dhātus are  called Rasāyanas. This paper is dealt in two ways - components, which accelerate  or trigger an early onset of aging and measures adopted to reverse them.",What is Rasāyana in Ayurveda and how can it promote positive health and immunity?,"So, Ayurveda isn't just for older people, right? Can it help me feel healthier and maybe even boost my immune system?",Can you tell me about any natural remedies or practices that might help me stay healthy and age well as per Ayurveda?
116,"The aromatic substances of natural origin are used medicinally in Ayurveda, and  can have diverse bio-dynamic actions. The existing methods like agar-cup method  or disc diffusion method are not adequate to study the exclusive antibacterial  effects of the volatile components of aromatic oils due to lack of ideal  diffusion and evaporation from the surface. Hence an attempt is made to develop  a novel approach to assess the antibacterial activity of few aromatic herbs like  Eugenia caryophyllus, Thymus vulgaris, Cinnamonum zeylanium, Cuminum cyminum;  these were extracted with hexane filled in tiny sterile tubes and the volatile  components were tested for their antibacterial properties using standard strains  of gram +ve and gram -ve bacteria grown on agar slants. The results are  expressed as a percent of inhibition of the area on the slants, from the top of  the extract tube. Of the four herbs selected, volatile components of Thymus  vulgaris were most effective againsts all the seven test organisms.",Which aromatic herbs have been found to have antibacterial properties?,"Are there any natural remedies, like essential oils or herbs, that can help fight off bacteria and keep me from getting sick?",Are there any natural oils or herbs that could help protect me from germs and bacteria?
117,"A reliable estimate is that one in twenty people has a skin disease. The quest  for health which started with the advent of man on the horizon of this universe  is still continuing. Such an attempt was also made during the reign of Maharaja  Ranbir Singh of Jammu & Kashmir, when ""Ranbir Prakash"" a compendium of  different. Ayurvedic texts came into existence. In the present paper it is tried  to bring forth the different therapeutic regimens for the management of  different skin afflictions described under Kushtha roga in the ""Ranbir Prakash"".","What are some Ayurvedic treatments for skin diseases mentioned in the ""Ranbir Prakash""?","I've got some skin issues that just won't go away. Are there any natural remedies or treatments that might help, like stuff from Ayurvedic practices?","What natural treatments for skin conditions might I find in the ""Ranbir Prakash""?"
118,"The clinical syndrome of parkinsonism was identified in ancient India even  before the period of Christ and was treated methodically. The earliest reference  to bradykinesia dates to 600 bc. Evidences prove that as early as 300 bc,  Charaka proposed a coherent picture of parkinsonism by describing tremor,  rigidity, bradykinesia, and gait disturbances as its components. The scenario  was further developed by Madhava, Vagbhata, and Dalhana all through history. The  15th-century classic ""Bhasava rajyam"" introduced the term kampavata, which may  be regarded as an ayurvedic analogue of parkinsonism. The pathogenesis of  kampavata centered on the concept of imbalance in the vata factor, which  controls psychomotor activities. The essential element in therapy was the  administration of powdered seed of Mucuna pruriens, or atmagupta, which as per  reports, contains 4%-6% of levodopa. In addition to proving the existence and  identification of parkinsonism in ancient India, the study points to the  significance of ancient Indian Sanskrit works in medical history.",What natural remedies were used in ancient India to treat symptoms of Parkinson's disease?,Did people in ancient India know about Parkinson's disease and did they have any natural treatments for it?,I've been noticing some shaking in my hands lately. Did people in ancient India have any natural remedies for symptoms like this?
119,"OBJECTIVES: Plaque psoriasis is very embarrassing condition of skin as it  produces itchy rashes and scaly lesions which may not respond well to the  treatment. It can be correlated with Kitibhakushta which is one among the 18  types of Kushta (skin diseases). Several corticosteroids for skin applications  are used now a day's which gives only temporary relief. CASE PRESENTATION: A 36 years old moderate built male patient complains of  blackish skin rashes with itching, pain and scaling all over the body for three  months. Based on the symptoms, Dosha (Biological humors) involved were assessed  as Kapha (binding factors) and Vata (vital force of life) and suggestive of  Kitibhakushta. Diagnosis of the Plaque psoriasis was further confirmed by  biopsy. Classical Kushta treatment was adopted here. As Poorvakarma  (pre-operative procedures), Rukshana (Dehydrating therapy) was done and then  Snehapana (intake of medicated ghee) was administered. Then classical Vamana  (emetic therapy) and Virechana (purgative therapy) were performed. This took  almost one month. After Samsarjana (special diet) patient was administered  Manibhadragula as Shodhana Rasayana for a period of one month. At the end of  Manibhadragula intake, remarkable changes were observed in all the symptoms.  There were significant changes seen in PASI, DLQI and photographs taken before  and after treatment. CONCLUSIONS: Here the special mode of administration of Manibhadragula as  mentioned in Ashtanga Hridaya helps for Shodhana and the Shodhana itself has  Rasayana action. Drugs also have Rasayana property. This made the authors to  propose a new concept called Shodhana Rasayana. Classical treatment by  considering the condition of Roga (disease) and Rogi (patient) helps for  management of Kushta.",What are some traditional treatments for plaque psoriasis?,"I've got this itchy, scaly rash that doesn't seem to go away. Are there any natural treatments I could try?","I've been struggling with itchy, flaky skin that my doctor says might be plaque psoriasis. Are there any natural treatments or diets that might help with this?"
120,"Asparagus racemosus (Willd.) is a widely found medicinal plant in tropical and  subtropical parts of India. The therapeutic applications of this plant have been  reported in Indian and British Pharmacopoeias and in traditional system of  medicine, such as Ayurveda, Unani and Siddha. The crude, semi-purified and  purified extracts obtained from different parts of this plant have been useful  in therapeutic applications. Numerous bioactive phytochemicals mostly saponins  and flavonoids have been isolated and identified from this plant which are  responsible alone or in combination for various pharmacological activities. This  review aims to give a comprehensive overview of traditional applications,  current knowledge on the phytochemistry, pharmacology and overuse of A.  racemosus.",What are the health benefits of the Asparagus racemosus plant in traditional medicine?,I've heard of this plant called Asparagus racemosus from India that's supposed to have health benefits. What can it do for me and is it safe to use regularly?,I've heard of a plant called Asparagus racemosus from India having health benefits. Can you tell me more about it and how I might use it?
121,"To assess the current level of acceptance in the United States of complementary  and alternative medicine, recent research into the prevalence, acceptance,  accessibility, and recognition of complementary and alternative therapies were  reviewed. Several signs point to an increasing acceptance of complementary and  alternative medicine in the United States; the use of complementary and  alternative medicine is significantly increasing, many aspects of Chinese  medicine and Ayurveda are becoming mainstream, practitioners in the United  States are beginning to be licensed, and insurance companies are beginning to  cover some complementary and alternative therapies. Remaining challenges to true  acceptance include the restrictive Western mindset, the absence of published  studies, a lack of consistent manufacturing processes and quality standards, and  a fear of adulteration. Although the field still faces many challenges,  alternative and complementary medicine, including Chinese medicine and Ayurvedic  medicine, is becoming more accepted and accessible in the United States.",Is complementary and alternative medicine becoming more accepted in the United States?,"So, I've been hearing a lot about this alternative medicine stuff. Is it really becoming more popular and accepted in the US?",Are there any alternative or natural therapies that I could try for my health concerns that might be covered by my insurance?
122,"ETHANOPHARMACOLOGICAL RELEVANCE: The process of formation or appearance of a  urinary stone anywhere in the renal tract is known as urolithiasis. It is a  longstanding health problem, known to exist since early age of civilization.  Records about symptoms, signs and treatment strategies of urinary stones  diseases are found in the several ancient texts of traditional medicines such as  Ayurveda, Traditional Chinese Medicine (TCM), Siddha and Unani. In Ayurveda,  urolithiasis has been considered as one of the eight most troublesome diseases.  Ayurvedic management and cure of urinary stone involves herbal formulas,  alkaline liquids and surgical procedures. Whereas, TCM recommends polyherbal  drugs, acupuncture and mexibustion for treatment of the urinary stones. Among  these therapies, herbal remedies are in practice till today for the treatment  and cure urinary stone diseases. MATERIALS AND METHODS: A comprehensive review of the scientific literature about  pathophysiology of urinary stones and antiurolithiatic plants was undertaken  using the following bibliographic databases: MEDLINE/PubMed, Scopus, Web of  Knowledge and Google Scholar. The search was conducted from publications from  all years until Dec., 2015 by combination of the search terms and Boolean  operators; 'urinary stone' OR 'kidney stone' AND 'plant' OR 'medicine' OR  'antiurolithiatic plants'. Outputs were restricted to those completed studies  only published in English. In this review, literatures about plants which are  used as diuretic and/or in treatment urinary tract infections have not also been  considered. The Plant List and Royal Botanical Garden, Kew databases were used  to authenticate botanical names of plants. Books and monographs published in  English were used to collect information about historical records of  antiurolithiatic plants. RESULTS: Recent pharmacological interventions accredited ancient  antiurolithiatic claims to several plants and their formulations. The majority  of antiurolithiatic plants were found to either dissolve the stones or inhibit  the process of urinary stone formation. Plants such as Phyllanthus niruri L. and  Elymus repens (L.) Gould, as well as herbal products including 'Wu-Ling-San'  formula, 'Cystone' and 'Herbmed' have been proved their utility as promising  antiurolithiatic medicines in the different phases of clinical trials. In  addition, some of the isolated phytochemicals such as berberine, lupeol, khelin,  visnagin, 7-hydroxy-2',4',5'-trimethoxyisoflavone and  7-hydroxy-4'-methoxyisoflavone were reported to have potent antiurolithiatic  activity. CONCLUSION: In ancient medicinal texts, antiurolithiatic potential has been  ascribed to several plants and their formulations. Present scientific studies  provide scientific evidences for few of these claims however, they are  insufficient to establish many of these plants and herbal formulations as  therapeutic remedies for the treatment and management of urinary stones.  Conversely, findings of pre-clinical and clinical studies about some plants and  herbal formulations are promising, which underlines the utility of herbal  remedies as alternative medicines for the treatment and management of urinary  stones in the future.",What are some herbal remedies for treating and managing urinary stones?,"I've heard that certain plants can help with kidney stones. Is that true and if so, which ones should I look into?",Are there any natural remedies or herbs that could help with my kidney stones?
123,"OBJECTIVES: This article provides a comprehensive systematic review and  qualitative analysis of the current research investigating Ayurveda chronic  rhinosinusitis (CRS) treatment. CONTENT: PRISMA guidelines for systematic reviews was followed and our search  utilized MEDLINE, Embase, Ayush Portal, and Cochrane Library databases. Articles  published prior to March 2022, 10 or more patients that investigated Ayurveda as  a treatment for CRS in humans were included. This resulted in thirteen articles  meeting inclusion criteria. Ayurvedic treatments included herbal medications for  oral consumption, nasal instillation, and steam inhalation used alone or in  combination. All studies concluded that Ayurvedic therapy led to improvements in  subjective CRS symptoms and objective radiographic and hematologic criteria.  However, all 13 studies had a significant risk of bias due to study design and  statistical methods utilized. SUMMARY: Ayurvedic therapy may be a useful CRS treatment for some patients and  overall appears to be well tolerated. However, definitive recommendation for  when Ayurvedic treatments would be beneficial in the treatment of CRS remains  not possible. OUTLOOK: Given the overall positive effects shown in the current published  evidence and growing interest in complementary and integrative therapies,  Ayurvedic treatments for CRS deserve further investigation in the form of  well-designed controlled trials.",Can Ayurvedic treatments be beneficial for chronic rhinosinusitis symptoms?,"I've been dealing with a stuffy nose and sinus issues for a while now. Could Ayurvedic treatments help me out, or is there not enough research to tell yet?",I've been having issues with chronic sinusitis. Could Ayurvedic treatments possibly help me find some relief?
124,"BACKGROUND: Ardita (facial paralysis) is a medical condition that disfigures or  distorts the facial appearance of the sufferer causing facial asymmetry and  malfunction. Ardita patients may benefit from considering alternative treatments  such as Ayurveda, including Taila Nasya (nasal instillation of medicated oil). OBJECTIVES: To synthesize the best available evidence on the effectiveness of  different Nasya oils in the treatment of Ardita. INCLUSION CRITERIA TYPES OF PARTICIPANTS: Studies conducted on adult sufferers  (18-70 years) of Ardita (chronic or acute) in any setting were considered.  Studies including participants who were pregnant or suffered allergic rhinitis,  fever, intracranial tumor/hemorrhage and bilateral facial palsy were excluded. INTERVENTION(S)/COMPARATOR(S): Standalone treatment of Nasya (at all dosages and  frequencies) compared to Nasya in combination with other Ayurvedic treatments  was considered. Comparisons between different interventions including Taila  Nasya alone, Taila Nasya in combination with other Ayurvedic interventions and  Ayurvedic interventions that did not include Taila Nasya were also considered. OUTCOMES AND MEASURES: Changes in Ardita symptoms, including facial distortion,  speech disorders and facial pain, were measured. TYPES OF STUDIES: All quantitative study designs (experimental,  quasi-experimental and observational) were considered. SEARCH STRATEGY: Relevant studies were identified following a comprehensive  literature search. References provided within these key studies identified  additional resources. Indian universities were also contacted for results of  Ardita studies undertaken in their institutions.A three-step search strategy  aimed to find studies of published and unpublished studies was undertaken.  Studies published in the English language were considered for inclusion,  irrespective of publication date/year. Following an initial limited search of  MEDLINE and CINAHL, the text words contained in the title and abstract, and of  the index terms used to describe each articles were analyzed. From the  identified keywords and index terms, searches were undertaken across all  relevant databases such as PubMed, CINHAL, Cochrane (CENTRAL), Scopus, Centre  for Review and Dissemination databases, Turning Research into Practice (TRIP),  EMBASE, EBM Reviews, DHARA, Google Scholar, MedNar and ProQuest Dissertations.  Finally, reference lists of identified theses and articles were searched for  additional studies. Universities and website operators related to Ayurvedic  research in India were contacted, including the National Institute of Ayurveda  for relevant studies. Besides this, the University of Adelaide librarian was  contacted to retrieve those studies identified in the reference lists of theses  and articles. METHODOLOGICAL QUALITY: Studies were critically assessed by the review author  and a secondary reviewer prior to inclusion in the review using the standardized  critical appraisal instrument from the Joanna Briggs Institute. DATA EXTRACTION: Data was extracted by the primary reviewer using the  standardized data extraction tool from the Joanna Briggs Institute. DATA SYNTHESIS: Different interventions and comparators across studies precluded  meta-analysis. Narrative synthesis was performed. RESULTS: Only two pseudo randomized studies with a small number of participants  met inclusion criteria and were included in the review. One study with 20  participants, divided equally into two groups compared the effectiveness of two  nasal instillations in alleviating four Ardita symptoms. The second study of 15  participants each in two groups compared the effectiveness of nasal instillation  with placement of medicated oil on the head on seven Ardita symptoms.  Observational measurements of Ardita symptoms were graded as Mild, Moderate or  Marked at baseline and after one month. The study conducted on 30 participants  using Nasya intervention showed participants had better relief from the symptoms  of facial pain, speech disorder and earache within the range of 78.2% to 90.9%,  graded as Marked. Along with statistical data available in the studies, this  review found low levels of evidence favoring Taila Nasya intervention. The  review did not include any studies examining effectiveness of Nasya compared to  conventional treatment for Ardita. CONCLUSIONS: This review presents extremely limited evidence from only two small  experimental studies that administration of Nasya oil alone may provide some  relief from Ardita symptoms of facial distortion, speech disorder, inability to  shut eyelids/upward eye rolling and dribbling of saliva in adult patients. No  strong conclusions may be drawn from the evidence included in the review due to  the limited number of studies, limited number of participants and poor quality  of studies. IMPLICATIONS FOR PRACTICE: Practitioners should advice Ardita patients that  there is extremely limited evidence suggesting the potential effectiveness of  Nasya oils alone or Nasya in conjunction with other Ayurvedic treatments in  managing symptoms. However, given the absence of a strong evidence base,  practitioners should be guided by clinical wisdom and patient preference. IMPLICATIONS FOR RESEARCH: Well controlled clinical trials comparing standalone  Nasya therapy to other Ayurvedic treatments and/or conventional medicine for  Ardita symptoms need to be conducted to examine the relative effectiveness of  different Nasya oils in treating Ardita.",What are some Ayurvedic treatments that may help with symptoms of facial paralysis?,"I've been having some issues with my face feeling a bit weird and off-balance. Could it be this Ardita thing, and would trying out those Ayurvedic oil treatments help at all?",I've been struggling with some facial paralysis. Could using medicated oil like in this Ayurveda treatment help with my symptoms?
125,"Pongamia pinnata root has been advocated in Ayurveda for treatment of various  inflammatory and infective conditions including ulcers. Sequential petroleum  ether, benzene, chloroform, acetone and ethanolic extracts of P. pinnata roots  when administered in the dose of 50 mg/kg, i.p. in rats was found to have  anti-inflammatory, analgesic activity while pentobarbitone-induced 'sleep time'  was reduced by all the extracts except petroleum ether which, however, enhanced  it. They were also found to possess antiulcer effects when administered either  by i.p. (45 min before) or oral route (45 min before or for 4 days) against  restraint-stress or pylorus-ligated gastric ulcers in rats, the maximum  protection being afforded by petroleum ether and ethanol extracts. The mechanism  of antiulcer effect could either be due to decrease in acid-pepsin secretion and  augmentation of mucin secretion as observed with ethanol extract, while  petroleum ether extract might be producing the effect by virtue of its  anti-stress activity.",Can the root of Pongamia Pinnata be used to treat inflammation and ulcers?,"I've been dealing with a lot of stomach ulcers and inflammation lately. Are there any natural remedies, like plants or something, that could help me out?","I've been struggling with ulcers. Are there any natural remedies, like Pongamia pinnata root, that could help soothe them?"
126,"Human-to-human transmission of the Severe acute respiratory syndrome coronavirus  2 (SARS-CoV-2) occurs most often when people are in the incubation stage of the  disease or are carriers and have no symptoms. SARS-CoV-2 transmission on  different levels showed that the cold and dry climate, hot wind and relative  humid wind, maximum wind speed, turbulent wind, intensified recirculating flow  were causing transmission higher than factors. The role of environmental factors  described in Ayurveda like air, water, soil, season, frequent earthquakes,  sunlight exposure, frequent thunderstorm with lightening, and factors from  arthropods were revalidated in perspective of COVID-19 transmission. The authors  searched the information regarding epidemic diseases in Ayurveda textbooks.  Pubmed, Science Direct, Wikipedia, Elsevier, Lancet, and Springer were  approached for the latest knowledge relating to SARS-CoV-2 and COVID-19. Google  Scholar search engine was thoroughly checked upon for scientific evidence  regarding the Ayurveda drugs. Various environmental factors like soil, air,  water, frequent earthquake disasters, wildlife animals, aquatic birds, space,  inevitable disastrous factors, weather or seasonal hazards, violent thunderstorm  with lightning, intermediate hosts, sunlight exposure etc. were considered for  their role in the genesis of the disease. The Ayurvedic concepts behind the  etiology and development of epidemics are the same as modern epidemiological  theories. The mysteries of many aspects of the current pandemic might be  deciphered by traditional medicine knowledge and thus adding upon to the  integrative medicine concept.",How do environmental factors influence the transmission of COVID-19 according to Ayurveda?,"So, can different weather conditions or environmental factors make it easier to catch COVID-19?",Does the weather or environment around me have any impact on how likely I am to catch COVID-19?
